"","Var1","Var2","Var3","Var4","value"
"1",1,1,1,1,449
"2",2,1,1,1,449
"3",3,1,1,1,449
"4",1,2,1,1,119
"5",2,2,1,1,119
"6",3,2,1,1,119
"7",1,3,1,1,229
"8",2,3,1,1,240
"9",3,3,1,1,240
"10",1,1,2,1,125
"11",2,1,2,1,125
"12",3,1,2,1,125
"13",1,2,2,1,85
"14",2,2,2,1,85
"15",3,2,2,1,85
"16",1,3,2,1,74
"17",2,3,2,1,74
"18",3,3,2,1,74
"19",1,1,3,1,53
"20",2,1,3,1,56
"21",3,1,3,1,56
"22",1,2,3,1,42
"23",2,2,3,1,42
"24",3,2,3,1,42
"25",1,3,3,1,13
"26",2,3,3,1,13
"27",3,3,3,1,13
"28",1,1,1,2,301
"29",2,1,1,2,301
"30",3,1,1,2,301
"31",1,2,1,2,79
"32",2,2,1,2,36
"33",3,2,1,2,79
"34",1,3,1,2,295
"35",2,3,1,2,295
"36",3,3,1,2,295
"37",1,1,2,2,67
"38",2,1,2,2,67
"39",3,1,2,2,68
"40",1,2,2,2,223
"41",2,2,2,2,223
"42",3,2,2,2,223
"43",1,3,2,2,52
"44",2,3,2,2,52
"45",3,3,2,2,52
"46",1,1,3,2,24
"47",2,1,3,2,24
"48",3,1,3,2,33
"49",1,2,3,2,18
"50",2,2,3,2,18
"51",3,2,3,2,18
"52",1,3,3,2,31
"53",2,3,3,2,32
"54",3,3,3,2,32
"55",1,1,1,3,245
"56",2,1,1,3,245
"57",3,1,1,3,245
"58",1,2,1,3,330
"59",2,2,1,3,332
"60",3,2,1,3,332
"61",1,3,1,3,286
"62",2,3,1,3,286
"63",3,3,1,3,286
"64",1,1,2,3,101
"65",2,1,2,3,101
"66",3,1,2,3,101
"67",1,2,2,3,31
"68",2,2,2,3,31
"69",3,2,2,3,64
"70",1,3,2,3,28
"71",2,3,2,3,28
"72",3,3,2,3,28
"73",1,1,3,3,31
"74",2,1,3,3,31
"75",3,1,3,3,31
"76",1,2,3,3,41
"77",2,2,3,3,41
"78",3,2,3,3,41
"79",1,3,3,3,13
"80",2,3,3,3,13
"81",3,3,3,3,13
"82",1,1,1,4,128
"83",2,1,1,4,128
"84",3,1,1,4,128
"85",1,2,1,4,210
"86",2,2,1,4,210
"87",3,2,1,4,210
"88",1,3,1,4,115
"89",2,3,1,4,115
"90",3,3,1,4,115
"91",1,1,2,4,140
"92",2,1,2,4,140
"93",3,1,2,4,140
"94",1,2,2,4,33
"95",2,2,2,4,33
"96",3,2,2,4,33
"97",1,3,2,4,76
"98",2,3,2,4,76
"99",3,3,2,4,76
"100",1,1,3,4,38
"101",2,1,3,4,40
"102",3,1,3,4,40
"103",1,2,3,4,26
"104",2,2,3,4,26
"105",3,2,3,4,26
"106",1,3,3,4,26
"107",2,3,3,4,26
"108",3,3,3,4,26
"109",1,1,1,5,116
"110",2,1,1,5,99
"111",3,1,1,5,117
"112",1,2,1,5,204
"113",2,2,1,5,204
"114",3,2,1,5,204
"115",1,3,1,5,462
"116",2,3,1,5,462
"117",3,3,1,5,462
"118",1,1,2,5,55
"119",2,1,2,5,76
"120",3,1,2,5,76
"121",1,2,2,5,39
"122",2,2,2,5,23
"123",3,2,2,5,39
"124",1,3,2,5,38
"125",2,3,2,5,38
"126",3,3,2,5,38
"127",1,1,3,5,32
"128",2,1,3,5,32
"129",3,1,3,5,32
"130",1,2,3,5,31
"131",2,2,3,5,31
"132",3,2,3,5,31
"133",1,3,3,5,17
"134",2,3,3,5,17
"135",3,3,3,5,17
"136",1,1,1,6,856
"137",2,1,1,6,856
"138",3,1,1,6,856
"139",1,2,1,6,447
"140",2,2,1,6,447
"141",3,2,1,6,447
"142",1,3,1,6,186
"143",2,3,1,6,186
"144",3,3,1,6,186
"145",1,1,2,6,62
"146",2,1,2,6,62
"147",3,1,2,6,62
"148",1,2,2,6,64
"149",2,2,2,6,64
"150",3,2,2,6,64
"151",1,3,2,6,31
"152",2,3,2,6,31
"153",3,3,2,6,31
"154",1,1,3,6,48
"155",2,1,3,6,55
"156",3,1,3,6,55
"157",1,2,3,6,22
"158",2,2,3,6,22
"159",3,2,3,6,22
"160",1,3,3,6,16
"161",2,3,3,6,16
"162",3,3,3,6,16
"163",1,1,1,7,173
"164",2,1,1,7,172
"165",3,1,1,7,174
"166",1,2,1,7,223
"167",2,2,1,7,227
"168",3,2,1,7,227
"169",1,3,1,7,169
"170",2,3,1,7,169
"171",3,3,1,7,169
"172",1,1,2,7,70
"173",2,1,2,7,68
"174",3,1,2,7,70
"175",1,2,2,7,59
"176",2,2,2,7,39
"177",3,2,2,7,59
"178",1,3,2,7,18
"179",2,3,2,7,18
"180",3,3,2,7,18
"181",1,1,3,7,57
"182",2,1,3,7,58
"183",3,1,3,7,58
"184",1,2,3,7,25
"185",2,2,3,7,25
"186",3,2,3,7,25
"187",1,3,3,7,36
"188",2,3,3,7,36
"189",3,3,3,7,36
"190",1,1,1,8,124
"191",2,1,1,8,127
"192",3,1,1,8,127
"193",1,2,1,8,345
"194",2,2,1,8,346
"195",3,2,1,8,346
"196",1,3,1,8,57
"197",2,3,1,8,57
"198",3,3,1,8,57
"199",1,1,2,8,80
"200",2,1,2,8,80
"201",3,1,2,8,80
"202",1,2,2,8,18
"203",2,2,2,8,18
"204",3,2,2,8,18
"205",1,3,2,8,91
"206",2,3,2,8,91
"207",3,3,2,8,91
"208",1,1,3,8,57
"209",2,1,3,8,57
"210",3,1,3,8,57
"211",1,2,3,8,20
"212",2,2,3,8,21
"213",3,2,3,8,21
"214",1,3,3,8,27
"215",2,3,3,8,27
"216",3,3,3,8,27
"217",1,1,1,9,208
"218",2,1,1,9,208
"219",3,1,1,9,208
"220",1,2,1,9,160
"221",2,2,1,9,160
"222",3,2,1,9,160
"223",1,3,1,9,136
"224",2,3,1,9,136
"225",3,3,1,9,136
"226",1,1,2,9,69
"227",2,1,2,9,69
"228",3,1,2,9,69
"229",1,2,2,9,56
"230",2,2,2,9,56
"231",3,2,2,9,56
"232",1,3,2,9,112
"233",2,3,2,9,112
"234",3,3,2,9,112
"235",1,1,3,9,89
"236",2,1,3,9,89
"237",3,1,3,9,89
"238",1,2,3,9,18
"239",2,2,3,9,19
"240",3,2,3,9,21
"241",1,3,3,9,13
"242",2,3,3,9,13
"243",3,3,3,9,13
"244",1,1,1,10,156
"245",2,1,1,10,156
"246",3,1,1,10,156
"247",1,2,1,10,437
"248",2,2,1,10,437
"249",3,2,1,10,437
"250",1,3,1,10,307
"251",2,3,1,10,307
"252",3,3,1,10,307
"253",1,1,2,10,56
"254",2,1,2,10,57
"255",3,1,2,10,57
"256",1,2,2,10,99
"257",2,2,2,10,99
"258",3,2,2,10,99
"259",1,3,2,10,100
"260",2,3,2,10,100
"261",3,3,2,10,100
"262",1,1,3,10,39
"263",2,1,3,10,36
"264",3,1,3,10,41
"265",1,2,3,10,23
"266",2,2,3,10,23
"267",3,2,3,10,23
"268",1,3,3,10,19
"269",2,3,3,10,19
"270",3,3,3,10,19
"271",1,1,1,11,204
"272",2,1,1,11,204
"273",3,1,1,11,204
"274",1,2,1,11,345
"275",2,2,1,11,345
"276",3,2,1,11,345
"277",1,3,1,11,119
"278",2,3,1,11,119
"279",3,3,1,11,119
"280",1,1,2,11,68
"281",2,1,2,11,59
"282",3,1,2,11,92
"283",1,2,2,11,46
"284",2,2,2,11,46
"285",3,2,2,11,46
"286",1,3,2,11,64
"287",2,3,2,11,64
"288",3,3,2,11,64
"289",1,1,3,11,40
"290",2,1,3,11,38
"291",3,1,3,11,40
"292",1,2,3,11,26
"293",2,2,3,11,26
"294",3,2,3,11,26
"295",1,3,3,11,17
"296",2,3,3,11,17
"297",3,3,3,11,17
"298",1,1,1,12,92
"299",2,1,1,12,80
"300",3,1,1,12,94
"301",1,2,1,12,327
"302",2,2,1,12,327
"303",3,2,1,12,327
"304",1,3,1,12,243
"305",2,3,1,12,243
"306",3,3,1,12,243
"307",1,1,2,12,121
"308",2,1,2,12,122
"309",3,1,2,12,122
"310",1,2,2,12,31
"311",2,2,2,12,32
"312",3,2,2,12,33
"313",1,3,2,12,21
"314",2,3,2,12,21
"315",3,3,2,12,21
"316",1,1,3,12,35
"317",2,1,3,12,35
"318",3,1,3,12,35
"319",1,2,3,12,17
"320",2,2,3,12,18
"321",3,2,3,12,18
"322",1,3,3,12,18
"323",2,3,3,12,18
"324",3,3,3,12,18
"325",1,1,1,13,120
"326",2,1,1,13,121
"327",3,1,1,13,121
"328",1,2,1,13,109
"329",2,2,1,13,109
"330",3,2,1,13,109
"331",1,3,1,13,365
"332",2,3,1,13,365
"333",3,3,1,13,365
"334",1,1,2,13,91
"335",2,1,2,13,91
"336",3,1,2,13,91
"337",1,2,2,13,77
"338",2,2,2,13,77
"339",3,2,2,13,77
"340",1,3,2,13,32
"341",2,3,2,13,32
"342",3,3,2,13,32
"343",1,1,3,13,27
"344",2,1,3,13,29
"345",3,1,3,13,29
"346",1,2,3,13,22
"347",2,2,3,13,22
"348",3,2,3,13,22
"349",1,3,3,13,20
"350",2,3,3,13,20
"351",3,3,3,13,20
"352",1,1,1,14,175
"353",2,1,1,14,98
"354",3,1,1,14,175
"355",1,2,1,14,617
"356",2,2,1,14,618
"357",3,2,1,14,618
"358",1,3,1,14,224
"359",2,3,1,14,224
"360",3,3,1,14,224
"361",1,1,2,14,105
"362",2,1,2,14,135
"363",3,1,2,14,135
"364",1,2,2,14,88
"365",2,2,2,14,88
"366",3,2,2,14,88
"367",1,3,2,14,49
"368",2,3,2,14,49
"369",3,3,2,14,49
"370",1,1,3,14,31
"371",2,1,3,14,31
"372",3,1,3,14,31
"373",1,2,3,14,24
"374",2,2,3,14,24
"375",3,2,3,14,24
"376",1,3,3,14,20
"377",2,3,3,14,20
"378",3,3,3,14,20
"379",1,1,1,15,329
"380",2,1,1,15,173
"381",3,1,1,15,329
"382",1,2,1,15,471
"383",2,2,1,15,471
"384",3,2,1,15,471
"385",1,3,1,15,434
"386",2,3,1,15,434
"387",3,3,1,15,434
"388",1,1,2,15,65
"389",2,1,2,15,63
"390",3,1,2,15,65
"391",1,2,2,15,135
"392",2,2,2,15,135
"393",3,2,2,15,135
"394",1,3,2,15,18
"395",2,3,2,15,17
"396",3,3,2,15,18
"397",1,1,3,15,67
"398",2,1,3,15,67
"399",3,1,3,15,67
"400",1,2,3,15,24
"401",2,2,3,15,24
"402",3,2,3,15,24
"403",1,3,3,15,21
"404",2,3,3,15,21
"405",3,3,3,15,21
"406",1,1,1,16,422
"407",2,1,1,16,422
"408",3,1,1,16,422
"409",1,2,1,16,325
"410",2,2,1,16,327
"411",3,2,1,16,327
"412",1,3,1,16,219
"413",2,3,1,16,219
"414",3,3,1,16,219
"415",1,1,2,16,130
"416",2,1,2,16,135
"417",3,1,2,16,135
"418",1,2,2,16,30
"419",2,2,2,16,30
"420",3,2,2,16,30
"421",1,3,2,16,105
"422",2,3,2,16,105
"423",3,3,2,16,105
"424",1,1,3,16,186
"425",2,1,3,16,224
"426",3,1,3,16,224
"427",1,2,3,16,14
"428",2,2,3,16,14
"429",3,2,3,16,14
"430",1,3,3,16,16
"431",2,3,3,16,16
"432",3,3,3,16,16
"433",1,1,1,17,359
"434",2,1,1,17,362
"435",3,1,1,17,362
"436",1,2,1,17,418
"437",2,2,1,17,418
"438",3,2,1,17,418
"439",1,3,1,17,66
"440",2,3,1,17,66
"441",3,3,1,17,66
"442",1,1,2,17,67
"443",2,1,2,17,67
"444",3,1,2,17,67
"445",1,2,2,17,60
"446",2,2,2,17,60
"447",3,2,2,17,60
"448",1,3,2,17,77
"449",2,3,2,17,77
"450",3,3,2,17,77
"451",1,1,3,17,63
"452",2,1,3,17,72
"453",3,1,3,17,72
"454",1,2,3,17,19
"455",2,2,3,17,18
"456",3,2,3,17,19
"457",1,3,3,17,21
"458",2,3,3,17,21
"459",3,3,3,17,21
"460",1,1,1,18,211
"461",2,1,1,18,165
"462",3,1,1,18,211
"463",1,2,1,18,479
