"","Var1","Var2","value"
"1",1,1,28
"2",2,1,28
"3",3,1,28
"4",1,2,28
"5",2,2,28
"6",3,2,28
"7",1,3,64
"8",2,3,64
"9",3,3,64
"10",1,4,125
"11",2,4,128
"12",3,4,128
"13",1,5,45
"14",2,5,45
"15",3,5,45
"16",1,6,68
"17",2,6,70
"18",3,6,70
"19",1,7,75
"20",2,7,75
"21",3,7,75
"22",1,8,31
"23",2,8,30
"24",3,8,31
"25",1,9,45
"26",2,9,45
"27",3,9,45
"28",1,10,46
"29",2,10,48
"30",3,10,48
"31",1,11,44
"32",2,11,29
"33",3,11,47
"34",1,12,55
"35",2,12,58
"36",3,12,58
"37",1,13,88
"38",2,13,89
"39",3,13,89
"40",1,14,49
"41",2,14,71
"42",3,14,71
"43",1,15,84
"44",2,15,84
"45",3,15,84
"46",1,16,30
"47",2,16,30
"48",3,16,30
"49",1,17,79
"50",2,17,79
"51",3,17,79
"52",1,18,50
"53",2,18,39
"54",3,18,50
"55",1,19,65
"56",2,19,71
"57",3,19,71
"58",1,20,67
"59",2,20,67
"60",3,20,67
"61",1,21,52
"62",2,21,52
"63",3,21,52
"64",1,22,87
"65",2,22,88
"66",3,22,88
"67",1,23,46
"68",2,23,48
"69",3,23,48
"70",1,24,59
"71",2,24,59
"72",3,24,59
"73",1,25,72
"74",2,25,72
"75",3,25,72
"76",1,26,40
"77",2,26,36
"78",3,26,40
"79",1,27,93
"80",2,27,93
"81",3,27,93
"82",1,28,58
"83",2,28,46
"84",3,28,58
"85",1,29,58
"86",2,29,102
"87",3,29,102
"88",1,30,88
"89",2,30,94
"90",3,30,94
"91",1,31,47
"92",2,31,47
"93",3,31,50
"94",1,32,59
"95",2,32,59
"96",3,32,59
"97",1,33,58
"98",2,33,58
"99",3,33,61
"100",1,34,63
"101",2,34,64
"102",3,34,64
"103",1,35,47
"104",2,35,47
"105",3,35,50
"106",1,36,41
"107",2,36,40
"108",3,36,41
"109",1,37,55
"110",2,37,56
"111",3,37,56
"112",1,38,66
"113",2,38,53
"114",3,38,67
"115",1,39,92
"116",2,39,92
"117",3,39,92
"118",1,40,51
"119",2,40,51
"120",3,40,51
"121",1,41,75
"122",2,41,75
"123",3,41,75
"124",1,42,48
"125",2,42,48
"126",3,42,48
"127",1,43,37
"128",2,43,28
"129",3,43,37
"130",1,44,39
"131",2,44,39
"132",3,44,39
"133",1,45,69
"134",2,45,69
"135",3,45,69
"136",1,46,91
"137",2,46,95
"138",3,46,95
"139",1,47,54
"140",2,47,54
"141",3,47,56
"142",1,48,70
"143",2,48,70
"144",3,48,70
"145",1,49,61
"146",2,49,61
"147",3,49,61
"148",1,50,96
"149",2,50,96
"150",3,50,96
"151",1,51,62
"152",2,51,62
"153",3,51,62
"154",1,52,45
"155",2,52,45
"156",3,52,45
"157",1,53,45
"158",2,53,46
"159",3,53,46
"160",1,54,46
"161",2,54,44
"162",3,54,46
"163",1,55,41
"164",2,55,41
"165",3,55,41
"166",1,56,51
"167",2,56,52
"168",3,56,52
"169",1,57,64
"170",2,57,66
"171",3,57,66
"172",1,58,70
"173",2,58,74
"174",3,58,74
"175",1,59,82
"176",2,59,82
"177",3,59,82
"178",1,60,32
"179",2,60,32
"180",3,60,32
"181",1,61,47
"182",2,61,47
"183",3,61,47
"184",1,62,53
"185",2,62,53
"186",3,62,53
"187",1,63,47
"188",2,63,47
"189",3,63,47
"190",1,64,68
"191",2,64,68
"192",3,64,69
"193",1,65,47
"194",2,65,47
"195",3,65,47
"196",1,66,89
"197",2,66,89
"198",3,66,89
"199",1,67,52
"200",2,67,52
"201",3,67,52
"202",1,68,50
"203",2,68,50
"204",3,68,50
"205",1,69,36
"206",2,69,35
"207",3,69,97
"208",1,70,57
"209",2,70,57
"210",3,70,57
"211",1,71,45
"212",2,71,45
"213",3,71,45
"214",1,72,45
"215",2,72,45
"216",3,72,48
"217",1,73,44
"218",2,73,44
"219",3,73,44
"220",1,74,85
"221",2,74,85
