"","Var1","Var2","Var3","Var4","value"
"1",1,1,1,1,194
"2",2,1,1,1,194
"3",3,1,1,1,194
"4",1,2,1,1,456
"5",2,2,1,1,456
"6",3,2,1,1,456
"7",1,3,1,1,548
"8",2,3,1,1,548
"9",3,3,1,1,548
"10",1,1,2,1,73
"11",2,1,2,1,73
"12",3,1,2,1,73
"13",1,2,2,1,32
"14",2,2,2,1,32
"15",3,2,2,1,32
"16",1,3,2,1,51
"17",2,3,2,1,51
"18",3,3,2,1,51
"19",1,1,3,1,23
"20",2,1,3,1,23
"21",3,1,3,1,23
"22",1,2,3,1,41
"23",2,2,3,1,41
"24",3,2,3,1,41
"25",1,3,3,1,19
"26",2,3,3,1,19
"27",3,3,3,1,19
"28",1,1,1,2,284
"29",2,1,1,2,284
"30",3,1,1,2,284
"31",1,2,1,2,168
"32",2,2,1,2,168
"33",3,2,1,2,168
"34",1,3,1,2,255
"35",2,3,1,2,255
"36",3,3,1,2,255
"37",1,1,2,2,50
"38",2,1,2,2,51
"39",3,1,2,2,51
"40",1,2,2,2,54
"41",2,2,2,2,54
"42",3,2,2,2,54
"43",1,3,2,2,127
"44",2,3,2,2,127
"45",3,3,2,2,127
"46",1,1,3,2,16
"47",2,1,3,2,16
"48",3,1,3,2,16
"49",1,2,3,2,37
"50",2,2,3,2,37
"51",3,2,3,2,37
"52",1,3,3,2,20
"53",2,3,3,2,20
"54",3,3,3,2,20
"55",1,1,1,3,166
"56",2,1,1,3,166
"57",3,1,1,3,166
"58",1,2,1,3,156
"59",2,2,1,3,156
"60",3,2,1,3,156
"61",1,3,1,3,71
"62",2,3,1,3,71
"63",3,3,1,3,71
"64",1,1,2,3,78
"65",2,1,2,3,78
"66",3,1,2,3,78
"67",1,2,2,3,78
"68",2,2,2,3,78
"69",3,2,2,3,78
"70",1,3,2,3,71
"71",2,3,2,3,71
"72",3,3,2,3,71
"73",1,1,3,3,21
"74",2,1,3,3,21
"75",3,1,3,3,21
"76",1,2,3,3,33
"77",2,2,3,3,33
"78",3,2,3,3,33
"79",1,3,3,3,22
"80",2,3,3,3,22
"81",3,3,3,3,22
"82",1,1,1,4,109
"83",2,1,1,4,109
"84",3,1,1,4,109
"85",1,2,1,4,393
"86",2,2,1,4,393
"87",3,2,1,4,393
"88",1,3,1,4,87
"89",2,3,1,4,87
"90",3,3,1,4,87
"91",1,1,2,4,39
"92",2,1,2,4,39
"93",3,1,2,4,39
"94",1,2,2,4,19
"95",2,2,2,4,19
"96",3,2,2,4,19
"97",1,3,2,4,32
"98",2,3,2,4,32
"99",3,3,2,4,32
"100",1,1,3,4,18
"101",2,1,3,4,18
"102",3,1,3,4,18
"103",1,2,3,4,27
"104",2,2,3,4,27
"105",3,2,3,4,27
"106",1,3,3,4,23
"107",2,3,3,4,23
"108",3,3,3,4,23
"109",1,1,1,5,132
"110",2,1,1,5,97
"111",3,1,1,5,132
"112",1,2,1,5,262
"113",2,2,1,5,262
"114",3,2,1,5,262
"115",1,3,1,5,365
"116",2,3,1,5,365
"117",3,3,1,5,365
"118",1,1,2,5,40
"119",2,1,2,5,40
"120",3,1,2,5,40
"121",1,2,2,5,74
"122",2,2,2,5,74
"123",3,2,2,5,74
"124",1,3,2,5,44
"125",2,3,2,5,44
"126",3,3,2,5,44
"127",1,1,3,5,23
"128",2,1,3,5,23
"129",3,1,3,5,23
"130",1,2,3,5,21
"131",2,2,3,5,21
"132",3,2,3,5,21
"133",1,3,3,5,24
"134",2,3,3,5,24
"135",3,3,3,5,24
"136",1,1,1,6,190
"137",2,1,1,6,190
"138",3,1,1,6,190
"139",1,2,1,6,83
"140",2,2,1,6,83
"141",3,2,1,6,83
"142",1,3,1,6,234
"143",2,3,1,6,234
"144",3,3,1,6,234
"145",1,1,2,6,107
"146",2,1,2,6,107
"147",3,1,2,6,107
"148",1,2,2,6,62
"149",2,2,2,6,62
"150",3,2,2,6,62
"151",1,3,2,6,38
"152",2,3,2,6,38
"153",3,3,2,6,38
"154",1,1,3,6,38
"155",2,1,3,6,38
"156",3,1,3,6,38
"157",1,2,3,6,27
"158",2,2,3,6,27
"159",3,2,3,6,27
"160",1,3,3,6,30
"161",2,3,3,6,30
"162",3,3,3,6,30
"163",1,1,1,7,128
"164",2,1,1,7,128
"165",3,1,1,7,128
"166",1,2,1,7,176
"167",2,2,1,7,176
"168",3,2,1,7,176
"169",1,3,1,7,82
"170",2,3,1,7,82
"171",3,3,1,7,82
"172",1,1,2,7,34
"173",2,1,2,7,34
"174",3,1,2,7,34
"175",1,2,2,7,27
"176",2,2,2,7,27
"177",3,2,2,7,27
"178",1,3,2,7,94
"179",2,3,2,7,94
"180",3,3,2,7,94
"181",1,1,3,7,19
"182",2,1,3,7,19
"183",3,1,3,7,19
"184",1,2,3,7,32
"185",2,2,3,7,32
"186",3,2,3,7,32
"187",1,3,3,7,20
"188",2,3,3,7,20
"189",3,3,3,7,20
"190",1,1,1,8,373
"191",2,1,1,8,373
"192",3,1,1,8,373
"193",1,2,1,8,220
"194",2,2,1,8,220
"195",3,2,1,8,220
"196",1,3,1,8,207
"197",2,3,1,8,207
"198",3,3,1,8,207
"199",1,1,2,8,63
"200",2,1,2,8,63
"201",3,1,2,8,64
"202",1,2,2,8,49
"203",2,2,2,8,49
"204",3,2,2,8,67
"205",1,3,2,8,43
"206",2,3,2,8,43
"207",3,3,2,8,43
"208",1,1,3,8,26
"209",2,1,3,8,26
"210",3,1,3,8,26
"211",1,2,3,8,26
"212",2,2,3,8,26
"213",3,2,3,8,26
"214",1,3,3,8,20
"215",2,3,3,8,20
"216",3,3,3,8,20
"217",1,1,1,9,310
"218",2,1,1,9,310
"219",3,1,1,9,310
"220",1,2,1,9,244
"221",2,2,1,9,244
"222",3,2,1,9,244
"223",1,3,1,9,158
"224",2,3,1,9,158
"225",3,3,1,9,158
"226",1,1,2,9,53
"227",2,1,2,9,55
"228",3,1,2,9,55
"229",1,2,2,9,27
"230",2,2,2,9,27
"231",3,2,2,9,28
"232",1,3,2,9,69
"233",2,3,2,9,69
"234",3,3,2,9,69
"235",1,1,3,9,27
"236",2,1,3,9,27
"237",3,1,3,9,27
"238",1,2,3,9,23
"239",2,2,3,9,23
"240",3,2,3,9,23
"241",1,3,3,9,15
"242",2,3,3,9,16
"243",3,3,3,9,16
"244",1,1,1,10,85
"245",2,1,1,10,87
"246",3,1,1,10,87
"247",1,2,1,10,95
"248",2,2,1,10,95
"249",3,2,1,10,95
"250",1,3,1,10,404
"251",2,3,1,10,404
"252",3,3,1,10,404
