"","Var1","Var2","Var3","value"
"1",1,1,1,20
"2",2,1,1,20
"3",3,1,1,17
"4",1,2,1,3
"5",2,2,1,3
"6",3,2,1,3
"7",1,3,1,3
"8",2,3,1,3
"9",3,3,1,3
"10",1,4,1,2
"11",2,4,1,2
"12",3,4,1,2
"13",1,1,2,30
"14",2,1,2,30
"15",3,1,2,29
"16",1,2,2,8
"17",2,2,2,8
"18",3,2,2,5
"19",1,3,2,3
"20",2,3,2,3
"21",3,3,2,3
"22",1,4,2,3
"23",2,4,2,3
"24",3,4,2,3
"25",1,1,3,30
"26",2,1,3,30
"27",3,1,3,30
"28",1,2,3,7
"29",2,2,3,7
"30",3,2,3,7
"31",1,3,3,5
"32",2,3,3,5
"33",3,3,3,5
"34",1,4,3,2
"35",2,4,3,2
"36",3,4,3,2
"37",1,1,4,53
"38",2,1,4,53
"39",3,1,4,44
"40",1,2,4,6
"41",2,2,4,6
"42",3,2,4,6
"43",1,3,4,4
"44",2,3,4,4
"45",3,3,4,4
"46",1,4,4,2
"47",2,4,4,2
"48",3,4,4,2
"49",1,1,5,31
"50",2,1,5,31
"51",3,1,5,30
"52",1,2,5,5
"53",2,2,5,5
"54",3,2,5,5
"55",1,3,5,3
"56",2,3,5,3
"57",3,3,5,3
"58",1,4,5,3
"59",2,4,5,3
"60",3,4,5,3
"61",1,1,6,28
"62",2,1,6,28
"63",3,1,6,27
"64",1,2,6,9
"65",2,2,6,9
"66",3,2,6,8
"67",1,3,6,3
"68",2,3,6,3
"69",3,3,6,3
"70",1,4,6,2
"71",2,4,6,2
"72",3,4,6,2
"73",1,1,7,25
"74",2,1,7,25
"75",3,1,7,25
"76",1,2,7,4
"77",2,2,7,4
"78",3,2,7,4
"79",1,3,7,2
"80",2,3,7,2
"81",3,3,7,2
"82",1,4,7,2
"83",2,4,7,2
"84",3,4,7,2
"85",1,1,8,27
"86",2,1,8,27
"87",3,1,8,26
"88",1,2,8,9
"89",2,2,8,9
"90",3,2,8,9
"91",1,3,8,5
"92",2,3,8,5
"93",3,3,8,4
"94",1,4,8,4
"95",2,4,8,4
"96",3,4,8,4
"97",1,1,9,22
"98",2,1,9,22
"99",3,1,9,21
"100",1,2,9,7
"101",2,2,9,7
"102",3,2,9,7
"103",1,3,9,3
"104",2,3,9,3
"105",3,3,9,3
"106",1,4,9,2
"107",2,4,9,2
"108",3,4,9,2
"109",1,1,10,26
"110",2,1,10,26
"111",3,1,10,26
"112",1,2,10,5
"113",2,2,10,5
"114",3,2,10,5
"115",1,3,10,5
"116",2,3,10,5
"117",3,3,10,5
"118",1,4,10,2
"119",2,4,10,2
"120",3,4,10,2
"121",1,1,11,20
"122",2,1,11,20
"123",3,1,11,20
"124",1,2,11,4
"125",2,2,11,4
"126",3,2,11,4
"127",1,3,11,3
"128",2,3,11,3
"129",3,3,11,3
"130",1,4,11,2
"131",2,4,11,2
"132",3,4,11,2
"133",1,1,12,21
"134",2,1,12,21
"135",3,1,12,20
"136",1,2,12,7
"137",2,2,12,7
"138",3,2,12,7
"139",1,3,12,4
"140",2,3,12,4
"141",3,3,12,4
"142",1,4,12,3
"143",2,4,12,3
"144",3,4,12,3
"145",1,1,13,29
"146",2,1,13,29
"147",3,1,13,28
"148",1,2,13,5
"149",2,2,13,5
"150",3,2,13,5
"151",1,3,13,3
"152",2,3,13,3
"153",3,3,13,3
"154",1,4,13,2
"155",2,4,13,2
"156",3,4,13,2
"157",1,1,14,36
"158",2,1,14,36
"159",3,1,14,34
"160",1,2,14,4
"161",2,2,14,4
"162",3,2,14,4
"163",1,3,14,3
"164",2,3,14,3
"165",3,3,14,3
"166",1,4,14,3
"167",2,4,14,3
"168",3,4,14,3
"169",1,1,15,14
"170",2,1,15,14
"171",3,1,15,14
"172",1,2,15,5
"173",2,2,15,5
"174",3,2,15,5
"175",1,3,15,4
"176",2,3,15,4
"177",3,3,15,4
"178",1,4,15,2
"179",2,4,15,2
"180",3,4,15,2
"181",1,1,16,22
"182",2,1,16,22
"183",3,1,16,22
"184",1,2,16,7
"185",2,2,16,7
"186",3,2,16,7
"187",1,3,16,3
"188",2,3,16,3
"189",3,3,16,3
"190",1,4,16,3
"191",2,4,16,3
"192",3,4,16,3
"193",1,1,17,46
"194",2,1,17,46
"195",3,1,17,46
"196",1,2,17,8
"197",2,2,17,8
"198",3,2,17,8
"199",1,3,17,3
"200",2,3,17,3
"201",3,3,17,3
"202",1,4,17,2
"203",2,4,17,2
"204",3,4,17,2
"205",1,1,18,17
"206",2,1,18,17
"207",3,1,18,17
"208",1,2,18,6
"209",2,2,18,6
"210",3,2,18,6
"211",1,3,18,3
"212",2,3,18,3
"213",3,3,18,3
